season,week,player,team,weekly_yards,cumulative_yards
2025,11,Tua Tagovailoa,MIA,171,2123
2025,13,Tua Tagovailoa,MIA,157,2280
2025,14,Tua Tagovailoa,MIA,127,2407
2025,15,Tua Tagovailoa,MIA,253,2660
2025,6,Tyler Huntley,BAL,68,68
2025,8,Tyler Huntley,BAL,186,254
2025,16,Tyler Huntley,BAL,65,319
2025,17,Tyler Huntley,BAL,107,426
2025,8,Tyler Shough,NO,128,128
2025,9,Tyler Shough,NO,176,304
2025,10,Tyler Shough,NO,282,586
2025,12,Tyler Shough,NO,243,829
2025,13,Tyler Shough,NO,239,1068
2025,14,Tyler Shough,NO,144,1212
2025,15,Tyler Shough,NO,272,1484
2025,16,Tyler Shough,NO,308,1792
2025,17,Tyler Shough,NO,333,2125
2025,18,Tyler Shough,NO,259,2384
2025,2,Tyrod Taylor,NYJ,56,56
2025,3,Tyrod Taylor,NYJ,197,253
2025,7,Tyrod Taylor,NYJ,126,379
2025,12,Tyrod Taylor,NYJ,222,601
2025,13,Tyrod Taylor,NYJ,172,773
2025,14,Tyrod Taylor,NYJ,6,779
2025,2,Tyson Bagent,CHI,27,27
2025,9,Tyson Bagent,CHI,20,47
2025,1,Zach Wilson,MIA,32,32
