Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
73,Harold Carmichael,34,PHI,WR,15,11,,1,1,100.0,45,1,100.0,0,0.0,1,100.0,45,45.0,65.00,45.0,3.0,158.3,0,0,0.00,45.00,65.00,0,0,,CarmHa00
74,Bruce Mathison,24,SDG,QB,1,0,,3,5,60.0,41,0,0.0,1,20.0,1,60.0,25,8.2,-0.80,13.7,41.0,46.7,0,0,0.00,8.20,-0.80,0,0,,MathBr00
75,Mark Reed,24,BAL,QB,1,0,,6,10,60.0,34,0,0.0,1,10.0,2,40.0,16,3.4,-1.10,5.7,34.0,26.7,0,0,0.00,3.40,-1.10,0,0,,ReedMa20
76,Gerry Ellis,26,GNB,FB/RB,15,14,,2,5,40.0,31,1,20.0,1,20.0,2,40.0,20,6.2,1.20,15.5,2.1,61.2,0,0,0.00,6.20,1.20,0,0,,ElliGe00
77,Floyd Hodge,24,ATL,WR,12,6,,1,2,50.0,28,0,0.0,1,50.0,1,50.0,28,14.0,-8.50,28.0,2.3,56.2,0,0,0.00,14.00,-8.50,0,0,,HodgFl00
78,Dwight Walker,24,CLE,RB,16,0,,1,3,33.3,25,0,0.0,1,33.3,1,33.3,25,8.3,-6.67,25.0,1.6,25.0,0,0,0.00,8.33,-6.67,0,0,,WalkDw20
79,Steve Bryant,24,HOU,WR,16,6,,1,1,100.0,24,1,100.0,0,0.0,1,100.0,24,24.0,44.00,24.0,1.5,158.3,0,0,0.00,24.00,44.00,0,0,,BryaSt00
80,Russell Erxleben,26,NOR,P,16,0,,1,1,100.0,24,0,0.0,0,0.0,1,100.0,24,24.0,24.00,24.0,1.5,118.7,0,0,0.00,24.00,24.00,0,0,,erxlerus01
81,Ralph Giacomarro,22,ATL,P,16,0,,1,1,100.0,23,0,0.0,0,0.0,1,100.0,23,23.0,23.00,23.0,1.4,118.7,0,0,0.00,23.00,23.00,0,0,,GiacRa20
82,Jim Bob Taylor,24,BAL,QB,8,0,,1,2,50.0,20,0,0.0,1,50.0,1,50.0,20,10.0,-12.50,20.0,2.5,45.8,0,0,0.00,10.00,-12.50,0,0,,TaylJi20
