Rk,Player,Age,Team,Pos,G,GS,QBrec▼,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
12,John Elway,29,DEN,QB,15,15,10-5-0,223,416,53.6,3051,18,4.3,18,4.3,145,42.1,69,7.3,6.25,13.7,203.4,73.7,35,298,7.76,6.10,5.11,2,2,PB,ElwaJo00
13,Mark Rypien,27,WAS,QB,14,14,9-5-0,280,476,58.8,3768,22,4.6,13,2.7,182,50.6,80,7.9,7.61,13.5,269.1,88.1,16,108,3.25,7.44,7.14,3,3,PB,RypiMa00
14,Don Majkowski,25,GNB,QB,16,16,10-6-0,353,599,58.9,4318,27,4.5,20,3.3,204,45.8,79,7.2,6.61,12.2,269.9,82.3,47,268,7.28,6.27,5.71,5,7,PBAP-2AP MVP-2AP OPoY-3,MajkDo00
15,Steve DeBerg,35,KAN,QB,12,10,6-4-0,196,324,60.5,2529,11,3.4,16,4.9,122,48.8,50,7.8,6.26,12.9,210.8,75.8,14,111,4.14,7.15,5.67,2,2,,DebeSt00
16,Bernie Kosar,26,CLE,QB,16,16,9-6-1,303,513,59.1,3533,18,3.5,14,2.7,157,43.7,97,6.9,6.36,11.7,220.8,80.3,34,192,6.22,6.11,5.61,2,3,,KosaBe00
17,Wade Wilson,30,MIN,QB,14,12,7-5-0,194,362,53.6,2543,9,2.5,12,3.3,125,41.4,50,7.0,6.03,13.1,181.6,70.5,27,194,6.94,6.04,5.11,1,0,,WilsWa00
18,Jack Trudeau,27,IND,QB,13,12,7-5-0,190,362,52.5,2317,15,4.1,13,3.6,103,43.7,71,6.4,5.61,12.2,178.2,71.3,20,125,5.24,5.74,4.99,4,3,,TrudJa00
19,Bubby Brister,27,PIT,QB,14,14,8-6-0,187,342,54.7,2365,9,2.6,10,2.9,102,37.7,79,6.9,6.13,12.6,168.9,73.1,45,452,11.63,4.94,4.25,1,1,,BrisBu00
20,Steve Beuerlein,24,RAI,QB,10,7,4-3-0,108,217,49.8,1677,13,6.0,9,4.1,82,38.9,67,7.7,7.06,15.5,167.7,78.4,22,175,9.21,6.28,5.68,2,3,,BeueSt00
21,Bob Gagliano,31,DET,QB,11,7,4-3-0,117,232,50.4,1671,6,2.6,12,5.2,69,38.9,75,7.2,5.39,14.3,151.9,61.2,25,153,9.73,5.91,4.27,0,0,,GaglBo00
