Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
61,Will Cureton,25,CLE,QB,1,1,0-1-0,10,32,31.3,95,1,3.1,1,3.1,16,3.0,2.19,9.5,95.0,38.0,2,21,5.88,2.18,1.44,0,0,,CureWi00
62,Carlos Brown,23,GNB,QB,13,0,,3,4,75.0,63,1,25.0,0,0.0,27,15.8,20.75,21.0,4.8,156.2,0,0,0.00,15.75,20.75,0,0,,BrowCa00
63,Willard Harrell,23,GNB,RB,14,12,,3,5,60.0,61,3,60.0,0,0.0,24,12.2,24.20,20.3,4.4,142.5,0,0,0.00,12.20,24.20,0,0,,HarrWi01
64,Dennis Shaw,28,STL,QB,3,0,,4,8,50.0,61,0,0.0,1,12.5,21,7.6,2.00,15.3,20.3,35.9,1,14,11.11,5.22,0.22,0,0,,ShawDe00
65,Mike Adamle,26,CHI,RB,14,7,,2,2,100.0,57,0,0.0,0,0.0,44,28.5,28.50,28.5,4.1,118.7,1,5,33.33,17.33,17.33,0,0,,AdamMi01
66,Terry Metcalf,24,STL,RB,13,13,,1,2,50.0,51,1,50.0,0,0.0,51,25.5,35.50,51.0,3.9,135.4,0,0,0.00,25.50,35.50,0,0,PBAP-2AP MVP-3AP OPoY-3,MetcTe00
67,Larry Lawrence,26,OAK,QB,1,1,1-0-0,5,15,33.3,50,0,0.0,1,6.7,17,3.3,0.33,10.0,50.0,16.0,2,15,11.76,2.06,-0.59,0,0,,LawrLa00
68,Lynn Dickey,26,HOU,QB,14,0,,2,4,50.0,46,0,0.0,1,25.0,28,11.5,0.25,23.0,3.3,52.1,3,20,42.86,3.71,-2.71,0,0,,DickLy00
69,Robert Newhouse,25,DAL,FB,14,13,,1,2,50.0,46,1,50.0,0,0.0,46,23.0,33.00,46.0,3.3,135.4,0,0,0.00,23.00,33.00,0,0,,NewhRo00
70,Haskel Stanback,23,ATL,RB,14,10,,1,1,100.0,41,1,100.0,0,0.0,41,41.0,61.00,41.0,2.9,158.3,0,0,0.00,41.00,61.00,0,0,,StanHa00
71,Bobby Walden,37,PIT,P,14,0,,2,3,66.7,39,0,0.0,0,0.0,20,13.0,13.00,19.5,2.8,109.7,0,0,0.00,13.00,13.00,0,0,,WaldBo20
72,Stan Fritts,23,CIN,RB,13,5,,2,4,50.0,31,0,0.0,0,0.0,16,7.8,7.75,15.5,2.4,76.0,0,0,0.00,7.75,7.75,0,0,,FritSt00
73,Jack Concannon,32,DET,QB,7,0,,1,2,50.0,30,0,0.0,0,0.0,30,15.0,15.00,30.0,4.3,95.8,1,9,33.33,7.00,7.00,0,0,,ConcJa00
74,Billy Van Heusen,29,DEN,WR,14,13,,1,1,100.0,30,0,0.0,0,0.0,30,30.0,30.00,30.0,2.1,118.7,0,0,0.00,30.00,30.00,0,0,,VanHBi20
75,Willie Miller,28,CLE,WR,14,3,,1,1,100.0,26,1,100.0,0,0.0,26,26.0,46.00,26.0,1.9,158.3,0,0,0.00,26.00,46.00,0,0,,MillWi00
76,John James,26,ATL,P,14,0,,1,1,100.0,25,0,0.0,0,0.0,25,25.0,25.00,25.0,1.8,118.7,0,0,0.00,25.00,25.00,0,0,PB,JameJo20
77,Bob Berry,33,MIN,QB,1,0,,3,6,50.0,24,0,0.0,0,0.0,17,4.0,4.00,8.0,24.0,60.4,1,9,14.29,2.14,2.14,0,0,,BerrBo00
78,Virgil Carter,30,SDG,QB,1,1,0-1-0,3,5,60.0,24,0,0.0,1,20.0,11,4.8,-4.20,8.0,24.0,32.5,1,10,16.67,2.33,-5.17,0,0,,CartVi00
79,Ray Guy,26,OAK,P,14,0,,1,1,100.0,22,0,0.0,0,0.0,22,22.0,22.00,22.0,1.6,118.7,0,0,0.00,22.00,22.00,0,0,PB,GuyxRa20
80,Mitch Hoopes,22,DAL,P,14,0,,1,3,33.3,21,0,0.0,0,0.0,21,7.0,7.00,21.0,1.5,59.0,0,0,0.00,7.00,7.00,0,0,,HoopMi20
81,George Blanda,48,OAK,QB,14,0,,1,3,33.3,11,0,0.0,1,33.3,11,3.7,-11.33,11.0,0.8,5.6,3,8,50.00,0.50,-7.00,0,0,,BlanGe00
82,Greg Gantt,24,NYJ,P,14,0,,1,1,100.0,1,0,0.0,0,0.0,1,1.0,1.00,1.0,0.1,79.2,0,0,0.00,1.00,1.00,0,0,,GantGr20
83,Bobby Anderson,28,WAS,RB,1,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,AndeBo00
84,Jim Bakken,35,STL,K,14,0,,0,0,,0,0,,0,,,,,,0.0,,1,9,100.00,-9.00,-9.00,0,0,PBAP-1,BakkJi20
85,Marlin Briscoe,30,DET,WR,8,7,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,BrisMa00
86,Don Cockroft,30,CLE,K,14,0,,2,2,100.0,0,0,0.0,0,0.0,,0.0,0.00,0.0,0.0,79.2,0,0,0.00,0.00,0.00,0,0,,cockrdon01
87,Ronnie Coleman,24,HOU,RB,14,12,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ColeRo00
88,Dave Green,26,CIN,P,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GreeDa20
89,Bob Grim,30,CHI,WR,14,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,GrimBo00
90,Henry Hynoski,22,CLE,RB,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,HynoHe00
91,Sammy Johnson,23,SFO,RB,14,0,,0,2,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,JohnSa00
92,Horace King,22,DET,RB,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,1,1,50.00,-0.50,-0.50,0,0,,KingHo00
93,Jim Lash,24,MIN,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,LashJi00
94,Lawrence McCutcheon,25,RAM,RB,13,13,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,PB,McCuLa00
95,Bob Parsons,25,CHI,TE,14,10,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,ParsBo00
96,Walter Payton,22,CHI,RB,13,7,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,PaytWa00
97,Ed Podolak,28,KAN,RB,14,4,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,2,13,66.67,-4.33,-19.33,0,0,,PodoEd00
98,Rick Upchurch,23,DEN,WR,14,0,,0,0,,0,0,,0,,,,,,0.0,,1,9,100.00,-9.00,-9.00,0,0,,UpchRi00
99,Gene Washington,28,SFO,WR,14,14,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WashGe00
100,Herman Weaver,27,DET,P,14,0,,0,1,0.0,0,0,0.0,0,0.0,,0.0,0.00,,0.0,39.6,0,0,0.00,0.00,0.00,0,0,,WeavHe20
101,Walter White,24,KAN,TE,14,1,,0,1,0.0,0,0,0.0,1,100.0,,0.0,-45.00,,0.0,0.0,0,0,0.00,0.00,-45.00,0,0,,WhitWa00
,League Average,,,,,,,,,52.5,,,4.3,,5.3,,6.7,5.14,12.7,63.5,65.8,,,8.34,5.45,4.04,,,,-9999
